日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
2025-03-03,73279419,"74,076,141,634",1000.0,1020.0,1000.0,1020.0,-20.00,"208,673",
2025-03-04,70879417,"71,031,410,815",996.0,1010.0,996.0,1000.0,-20.00,"184,239",
2025-03-05,45086222,"46,126,315,408",1020.0,1030.0,1015.0,1020.0,+20.00,"63,259",
2025-03-06,49318590,"49,937,586,396",1020.0,1025.0,1005.0,1005.0,-15.00,"99,898",
2025-03-07,50358724,"50,550,677,397",1005.0,1010.0,1000.0,1005.0, 0.00,"95,905",
2025-03-10,55410836,"55,278,923,810",1005.0,1005.0,992.0,998.0,-7.00,"189,791",
2025-03-11,58764791,"57,064,143,987",969.0,979.0,963.0,971.0,-27.00,"323,403",
2025-03-12,38527201,"37,951,553,847",980.0,995.0,976.0,988.0,+17.00,"132,537",
2025-03-13,42915696,"42,199,819,801",1000.0,1005.0,965.0,965.0,-23.00,"192,169",
2025-03-14,42394920,"40,803,705,615",965.0,969.0,955.0,959.0,-6.00,"163,735",
2025-03-17,35012870,"34,177,107,575",977.0,985.0,968.0,970.0,+11.00,"77,808",
2025-03-18,25716157,"24,986,151,171",976.0,978.0,968.0,971.0,X0.00,"64,687",
2025-03-19,43493556,"41,620,146,409",965.0,967.0,950.0,952.0,-19.00,"234,877",
2025-03-20,31993556,"31,303,215,198",978.0,985.0,971.0,985.0,+33.00,"61,507",
2025-03-21,46869716,"45,683,124,466",985.0,987.0,970.0,972.0,-13.00,"63,137",
2025-03-24,16866075,"16,480,791,636",986.0,987.0,972.0,972.0, 0.00,"37,815",
2025-03-25,28306040,"28,011,143,558",989.0,995.0,985.0,990.0,+18.00,"58,257",
2025-03-26,25939071,"25,540,092,915",995.0,995.0,980.0,980.0,-10.00,"41,985",
2025-03-27,44589770,"42,834,147,980",961.0,964.0,958.0,958.0,-22.00,"170,110",
2025-03-28,37802947,"35,917,004,376",946.0,955.0,946.0,952.0,-6.00,"135,642",
2025-03-31,59733510,"54,820,217,557",920.0,924.0,910.0,910.0,-42.00,"301,446",
2025-04-01,33673400,"31,491,275,577",929.0,946.0,925.0,944.0,+34.00,"73,772",
2025-04-02,28201820,"26,641,223,575",949.0,952.0,938.0,942.0,-2.00,"61,150",
2025-04-07,37652704,"32,012,146,992",848.0,848.0,848.0,848.0,-94.00,"219,438",
2025-04-08,136580582,"111,279,830,476",797.0,843.0,797.0,816.0,-32.00,"425,666",
2025-04-09,122044966,"97,865,587,721",809.0,826.0,780.0,785.0,-31.00,"518,687",
2025-04-10,28397160,"24,506,749,080",863.0,863.0,863.0,863.0,+78.00,"32,126",
2025-04-11,81264878,"70,338,979,303",848.0,889.0,836.0,889.0,+26.00,"188,545",
2025-04-14,72625129,"64,302,226,102",895.0,903.0,865.0,865.0,-24.00,"243,019",
2025-04-15,35642588,"31,178,394,103",874.0,879.0,865.0,877.0,+12.00,"66,577",
2025-04-16,47199014,"40,541,996,319",867.0,869.0,852.0,855.0,-22.00,"178,095",
2025-04-17,36449601,"30,955,774,323",849.0,856.0,842.0,847.0,-8.00,"104,874",
2025-04-18,23249139,"19,831,869,687",853.0,858.0,850.0,850.0,+3.00,"68,176",
2025-04-21,20672773,"17,304,529,560",844.0,847.0,832.0,835.0,-15.00,"104,189",
2025-04-22,32057642,"26,346,742,317",826.0,829.0,816.0,816.0,-19.00,"133,084",
2025-04-23,40685613,"34,980,602,995",853.0,873.0,848.0,873.0,+57.00,"78,430",
2025-04-24,34499991,"30,099,254,355",886.0,886.0,859.0,864.0,-9.00,"60,744",
2025-04-25,39651775,"35,411,585,995",900.0,901.0,886.0,888.0,+24.00,"76,758",
2025-04-28,25396543,"22,758,357,535",898.0,898.0,893.0,897.0,+9.00,"43,185",
2025-04-29,31146996,"27,990,673,396",897.0,902.0,893.0,902.0,+5.00,"45,912",
2025-04-30,39204833,"35,471,028,626",901.0,908.0,899.0,908.0,+6.00,"46,388",
2025-05-02,48129292,"45,206,565,214",938.0,950.0,932.0,950.0,+42.00,"99,509",
2025-05-05,56516129,"53,055,259,965",956.0,957.0,923.0,938.0,-12.00,"93,285",
2025-05-06,43358708,"40,011,158,770",916.0,930.0,916.0,920.0,-18.00,"74,918",
2025-05-07,39021595,"36,011,806,469",925.0,932.0,911.0,928.0,+8.00,"50,267",
2025-05-08,30777988,"28,602,519,292",933.0,939.0,918.0,918.0,-10.00,"39,133",
2025-05-09,40878730,"38,557,125,038",938.0,949.0,934.0,949.0,+31.00,"68,630",
2025-05-12,25668469,"24,554,284,001",954.0,962.0,952.0,957.0,+8.00,"44,647",
2025-05-13,50960522,"49,747,284,080",990.0,990.0,969.0,969.0,+12.00,"72,252",
2025-05-14,55061671,"54,697,821,594",990.0,999.0,988.0,999.0,+30.00,"105,868",
2025-05-15,28518212,"28,422,046,465",1000.0,1000.0,993.0,993.0,-6.00,"50,265",
2025-05-16,18079325,"17,966,857,712",991.0,998.0,989.0,998.0,+5.00,"36,183",
2025-05-19,21936885,"21,653,317,847",993.0,994.0,980.0,984.0,-14.00,"68,821",
2025-05-20,24317788,"23,922,516,474",991.0,994.0,978.0,978.0,-6.00,"46,215",
2025-05-21,27677478,"27,418,826,043",986.0,999.0,983.0,990.0,+12.00,"47,842",
2025-05-22,19671417,"19,321,581,490",988.0,988.0,979.0,982.0,-8.00,"41,571",
2025-05-23,23744132,"23,343,468,899",993.0,993.0,975.0,984.0,+2.00,"46,204",
2025-05-26,20906797,"20,460,682,166",975.0,984.0,975.0,976.0,-8.00,"31,349",
2025-05-27,29843876,"28,842,510,221",971.0,975.0,961.0,965.0,-11.00,"86,318",
2025-05-28,31929816,"31,118,692,765",984.0,985.0,967.0,967.0,+2.00,"37,776",
2025-05-29,64850290,"62,982,593,605",986.0,986.0,967.0,967.0, 0.00,"36,958",
2025-06-02,40608468,"38,643,155,297",958.0,961.0,946.0,946.0,-21.00,"125,245",
2025-06-03,27482916,"26,302,041,072",960.0,965.0,950.0,950.0,+4.00,"43,550",
2025-06-04,43196396,"42,419,360,833",974.0,990.0,970.0,990.0,+40.00,"73,539",
2025-06-05,27047750,"26,936,792,104",1000.0,1000.0,991.0,998.0,+8.00,"51,309",
2025-06-06,18797346,"18,688,985,614",997.0,997.0,991.0,995.0,-3.00,"27,283",
2025-06-09,23952041,"24,100,014,375",1005.0,1010.0,1000.0,1005.0,+10.00,"56,903",
2025-06-10,55353908,"57,406,744,645",1025.0,1050.0,1020.0,1045.0,+40.00,"138,656",
2025-06-11,46137188,"48,960,267,029",1065.0,1070.0,1055.0,1065.0,+20.00,"75,830",
2025-06-12,28661875,"30,064,888,046",1055.0,1060.0,1045.0,1045.0,X0.00,"40,293",
2025-06-13,31371948,"32,434,779,823",1040.0,1040.0,1025.0,1030.0,-15.00,"40,938",
2025-06-16,31257555,"31,982,385,770",1030.0,1030.0,1015.0,1025.0,-5.00,"38,583",
2025-06-17,30890431,"32,183,667,155",1040.0,1050.0,1035.0,1045.0,+20.00,"30,757",
2025-06-18,41740374,"43,722,320,684",1040.0,1055.0,1030.0,1055.0,+10.00,"45,620",
2025-06-19,25354905,"26,287,507,815",1045.0,1045.0,1030.0,1035.0,-20.00,"31,893",
2025-06-20,67241164,"70,461,692,958",1030.0,1055.0,1025.0,1055.0,+20.00,"33,114",
2025-06-23,33543038,"34,292,190,910",1025.0,1030.0,1015.0,1020.0,-35.00,"56,849",
2025-06-24,30105394,"31,487,543,196",1045.0,1050.0,1040.0,1050.0,+30.00,"33,323",
2025-06-25,44519173,"47,370,306,720",1060.0,1070.0,1055.0,1070.0,+20.00,"75,075",
2025-06-26,39534708,"42,448,279,645",1075.0,1080.0,1065.0,1075.0,+5.00,"50,326",
2025-06-27,34877892,"37,353,695,324",1070.0,1080.0,1060.0,1080.0,+5.00,"38,535",
2025-06-30,35763093,"38,268,458,555",1075.0,1080.0,1060.0,1060.0,-20.00,"39,464",
2025-07-01,52818889,"57,235,426,744",1080.0,1095.0,1075.0,1085.0,+25.00,"68,934",
2025-07-02,24453697,"26,349,711,755",1075.0,1085.0,1070.0,1085.0, 0.00,"26,005",
2025-07-03,39719503,"43,590,599,965",1105.0,1105.0,1090.0,1090.0,+5.00,"52,136",
2025-07-04,23556842,"25,635,862,115",1095.0,1100.0,1080.0,1085.0,-5.00,"33,003",
2025-07-07,19949311,"21,467,492,525",1080.0,1085.0,1070.0,1080.0,-5.00,"29,161",
2025-07-08,29944918,"32,081,882,384",1070.0,1080.0,1065.0,1080.0, 0.00,"37,874",
2025-07-09,25899845,"27,998,741,278",1070.0,1090.0,1065.0,1090.0,+10.00,"30,492",
2025-07-10,23947482,"26,242,095,552",1095.0,1100.0,1090.0,1100.0,+10.00,"34,427",
2025-07-11,30615792,"33,607,768,195",1095.0,1100.0,1090.0,1100.0, 0.00,"30,851",
2025-07-14,29975913,"32,777,573,059",1100.0,1100.0,1085.0,1095.0,-5.00,"29,965",
2025-07-15,49458466,"54,619,049,312",1095.0,1115.0,1090.0,1110.0,+15.00,"62,368",
