日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
2024-02-01,46924943,29237425981,625.0,628.0,619.0,628.0, 0.00,"51,671",
2024-02-02,27797894,17563853315,633.0,635.0,628.0,635.0,+7.00,"22,257",
2024-02-05,48037344,30931242935,645.0,647.0,638.0,646.0,+11.00,"51,065",
2024-02-15,132263803,92592826951,709.0,709.0,693.0,697.0,+51.00,"130,374",
2024-02-16,48963167,33742716965,697.0,699.0,683.0,683.0,-14.00,"56,882",
2024-02-19,36366837,24665534552,674.0,682.0,674.0,678.0,-5.00,"35,240",
2024-02-20,31403730,21494427969,675.0,688.0,675.0,687.0,+9.00,"32,847",
2024-02-21,31980543,21748906940,678.0,683.0,678.0,681.0,-6.00,"36,004",
2024-02-22,34269392,23664176835,695.0,695.0,685.0,692.0,+11.00,"36,998",
2024-02-23,48404478,33847447281,701.0,703.0,696.0,697.0,+5.00,"48,018",
2024-02-26,29976379,20917136411,700.0,700.0,695.0,698.0,+1.00,"25,850",
2024-02-27,35389548,24647159479,700.0,701.0,691.0,698.0, 0.00,"31,145",
2024-02-29,59337072,40973093720,691.0,698.0,688.0,690.0,-8.00,"39,066",
